"","date","store_nbr","family","sales","onpromotion"
"25","2013-01-01",1,"MEATS",0,0
"58","2013-01-01",10,"MEATS",0,0
"91","2013-01-01",11,"MEATS",0,0
"124","2013-01-01",12,"MEATS",0,0
"157","2013-01-01",13,"MEATS",0,0
"190","2013-01-01",14,"MEATS",0,0
"223","2013-01-01",15,"MEATS",0,0
"256","2013-01-01",16,"MEATS",0,0
"289","2013-01-01",17,"MEATS",0,0
"322","2013-01-01",18,"MEATS",0,0
"355","2013-01-01",19,"MEATS",0,0
"388","2013-01-01",2,"MEATS",0,0
"421","2013-01-01",20,"MEATS",0,0
"454","2013-01-01",21,"MEATS",0,0
"487","2013-01-01",22,"MEATS",0,0
"520","2013-01-01",23,"MEATS",0,0
"553","2013-01-01",24,"MEATS",0,0
"586","2013-01-01",25,"MEATS",110.801,0
"619","2013-01-01",26,"MEATS",0,0
"652","2013-01-01",27,"MEATS",0,0
"685","2013-01-01",28,"MEATS",0,0
"718","2013-01-01",29,"MEATS",0,0
"751","2013-01-01",3,"MEATS",0,0
"784","2013-01-01",30,"MEATS",0,0
"817","2013-01-01",31,"MEATS",0,0
"850","2013-01-01",32,"MEATS",0,0
"883","2013-01-01",33,"MEATS",0,0
"916","2013-01-01",34,"MEATS",0,0
"949","2013-01-01",35,"MEATS",0,0
"982","2013-01-01",36,"MEATS",0,0
"1015","2013-01-01",37,"MEATS",0,0
"1048","2013-01-01",38,"MEATS",0,0
"1081","2013-01-01",39,"MEATS",0,0
"1114","2013-01-01",4,"MEATS",0,0
"1147","2013-01-01",40,"MEATS",0,0
"1180","2013-01-01",41,"MEATS",0,0
"1213","2013-01-01",42,"MEATS",0,0
"1246","2013-01-01",43,"MEATS",0,0
"1279","2013-01-01",44,"MEATS",0,0
"1312","2013-01-01",45,"MEATS",0,0
"1345","2013-01-01",46,"MEATS",0,0
"1378","2013-01-01",47,"MEATS",0,0
"1411","2013-01-01",48,"MEATS",0,0
"1444","2013-01-01",49,"MEATS",0,0
"1477","2013-01-01",5,"MEATS",0,0
"1510","2013-01-01",50,"MEATS",0,0
"1543","2013-01-01",51,"MEATS",0,0
"1576","2013-01-01",52,"MEATS",0,0
"1609","2013-01-01",53,"MEATS",0,0
"1642","2013-01-01",54,"MEATS",0,0
"1675","2013-01-01",6,"MEATS",0,0
"1708","2013-01-01",7,"MEATS",0,0
"1741","2013-01-01",8,"MEATS",0,0
"1774","2013-01-01",9,"MEATS",0,0
"1807","2013-01-02",1,"MEATS",369.101,0
"1840","2013-01-02",10,"MEATS",291.14,0
"1873","2013-01-02",11,"MEATS",832.541,0
"1906","2013-01-02",12,"MEATS",232.349,0
"1939","2013-01-02",13,"MEATS",137.91,0
"1972","2013-01-02",14,"MEATS",368.732,0
"2005","2013-01-02",15,"MEATS",84.805,0
"2038","2013-01-02",16,"MEATS",12.584,0
"2071","2013-01-02",17,"MEATS",226.374,0
"2104","2013-01-02",18,"MEATS",117.167,0
"2137","2013-01-02",19,"MEATS",153.44101,0
"2170","2013-01-02",2,"MEATS",655.626,0
"2203","2013-01-02",20,"MEATS",0,0
"2236","2013-01-02",21,"MEATS",0,0
"2269","2013-01-02",22,"MEATS",0,0
"2302","2013-01-02",23,"MEATS",517.363,0
"2335","2013-01-02",24,"MEATS",453.601,0
"2368","2013-01-02",25,"MEATS",244.703,0
"2401","2013-01-02",26,"MEATS",381.225,0
"2434","2013-01-02",27,"MEATS",214.951,0
"2467","2013-01-02",28,"MEATS",45.007,0
"2500","2013-01-02",29,"MEATS",0,0
"2533","2013-01-02",3,"MEATS",945.636,0
"2566","2013-01-02",30,"MEATS",55.99,0
"2599","2013-01-02",31,"MEATS",91.72,0
"2632","2013-01-02",32,"MEATS",73.95,0
"2665","2013-01-02",33,"MEATS",58.864998,0
"2698","2013-01-02",34,"MEATS",113.802,0
"2731","2013-01-02",35,"MEATS",27.923,0
"2764","2013-01-02",36,"MEATS",0,0
"2797","2013-01-02",37,"MEATS",381.245,0
"2830","2013-01-02",38,"MEATS",291.152,0
"2863","2013-01-02",39,"MEATS",141.338,0
"2896","2013-01-02",4,"MEATS",494.204,0
"2929","2013-01-02",40,"MEATS",72.568,0
"2962","2013-01-02",41,"MEATS",158.544,0
"2995","2013-01-02",42,"MEATS",0,0
"3028","2013-01-02",43,"MEATS",57.174,0
"3061","2013-01-02",44,"MEATS",1072.927,0
"3094","2013-01-02",45,"MEATS",1640.979,0
"3127","2013-01-02",46,"MEATS",1966.993,0
"3160","2013-01-02",47,"MEATS",1143.33,0
"3193","2013-01-02",48,"MEATS",1757.04,0
"3226","2013-01-02",49,"MEATS",732.115,0
"3259","2013-01-02",5,"MEATS",455.39902,0
"3292","2013-01-02",50,"MEATS",875.581,0
"3325","2013-01-02",51,"MEATS",757.924,0
"3358","2013-01-02",52,"MEATS",0,0
"3391","2013-01-02",53,"MEATS",0,0
"3424","2013-01-02",54,"MEATS",73.771,0
"3457","2013-01-02",6,"MEATS",612.151,0
"3490","2013-01-02",7,"MEATS",475.592,0
"3523","2013-01-02",8,"MEATS",630.4,0
"3556","2013-01-02",9,"MEATS",374.531,0
"3589","2013-01-03",1,"MEATS",272.319,0
"3622","2013-01-03",10,"MEATS",279.74298,0
"3655","2013-01-03",11,"MEATS",677.96204,0
"3688","2013-01-03",12,"MEATS",180.388,0
"3721","2013-01-03",13,"MEATS",86.622,0
"3754","2013-01-03",14,"MEATS",413.152,0
"3787","2013-01-03",15,"MEATS",151.772,0
"3820","2013-01-03",16,"MEATS",82.96,0
"3853","2013-01-03",17,"MEATS",119.441,0
"3886","2013-01-03",18,"MEATS",139.119,0
"3919","2013-01-03",19,"MEATS",112.275,0
"3952","2013-01-03",2,"MEATS",597.745,0
"3985","2013-01-03",20,"MEATS",0,0
"4018","2013-01-03",21,"MEATS",0,0
"4051","2013-01-03",22,"MEATS",0,0
"4084","2013-01-03",23,"MEATS",383.157,0
"4117","2013-01-03",24,"MEATS",443.188,0
"4150","2013-01-03",25,"MEATS",392.49802,0
"4183","2013-01-03",26,"MEATS",237.145,0
"4216","2013-01-03",27,"MEATS",147.005,0
"4249","2013-01-03",28,"MEATS",88.628,0
"4282","2013-01-03",29,"MEATS",0,0
"4315","2013-01-03",3,"MEATS",700.47003,0
"4348","2013-01-03",30,"MEATS",47.231003,0
"4381","2013-01-03",31,"MEATS",160.608,0
"4414","2013-01-03",32,"MEATS",76.955,0
"4447","2013-01-03",33,"MEATS",239.868,0
"4480","2013-01-03",34,"MEATS",218.637,0
"4513","2013-01-03",35,"MEATS",102.221,0
"4546","2013-01-03",36,"MEATS",0,0
"4579","2013-01-03",37,"MEATS",292.87,0
"4612","2013-01-03",38,"MEATS",214.364,0
"4645","2013-01-03",39,"MEATS",200.026,0
"4678","2013-01-03",4,"MEATS",373.155,0
"4711","2013-01-03",40,"MEATS",63.044,0
"4744","2013-01-03",41,"MEATS",136.783,0
"4777","2013-01-03",42,"MEATS",0,0
"4810","2013-01-03",43,"MEATS",71.697,0
"4843","2013-01-03",44,"MEATS",906.065,0
"4876","2013-01-03",45,"MEATS",1062.36,0
"4909","2013-01-03",46,"MEATS",1103.646,0
"4942","2013-01-03",47,"MEATS",798.486,0
"4975","2013-01-03",48,"MEATS",787.153,0
"5008","2013-01-03",49,"MEATS",487.864,0
"5041","2013-01-03",5,"MEATS",352.642,0
"5074","2013-01-03",50,"MEATS",845.97504,0
"5107","2013-01-03",51,"MEATS",594.061,0
"5140","2013-01-03",52,"MEATS",0,0
"5173","2013-01-03",53,"MEATS",0,0
"5206","2013-01-03",54,"MEATS",50.257,0
"5239","2013-01-03",6,"MEATS",442.535,0
"5272","2013-01-03",7,"MEATS",508.132,0
"5305","2013-01-03",8,"MEATS",554.311,0
"5338","2013-01-03",9,"MEATS",400.863,0
"5371","2013-01-04",1,"MEATS",454.172,0
"5404","2013-01-04",10,"MEATS",139.166,0
"5437","2013-01-04",11,"MEATS",711.788,0
"5470","2013-01-04",12,"MEATS",126.006004,0
"5503","2013-01-04",13,"MEATS",142.819,0
"5536","2013-01-04",14,"MEATS",410.886,0
"5569","2013-01-04",15,"MEATS",142.36299,0
"5602","2013-01-04",16,"MEATS",13.625,0
"5635","2013-01-04",17,"MEATS",273.56,0
"5668","2013-01-04",18,"MEATS",26.728,0
"5701","2013-01-04",19,"MEATS",43.993,0
"5734","2013-01-04",2,"MEATS",689.216,0
"5767","2013-01-04",20,"MEATS",0,0
"5800","2013-01-04",21,"MEATS",0,0
"5833","2013-01-04",22,"MEATS",0,0
"5866","2013-01-04",23,"MEATS",493.008,0
"5899","2013-01-04",24,"MEATS",622.234,0
"5932","2013-01-04",25,"MEATS",229.939,0
"5965","2013-01-04",26,"MEATS",212.228,0
"5998","2013-01-04",27,"MEATS",149.359,0
"6031","2013-01-04",28,"MEATS",84.823,0
"6064","2013-01-04",29,"MEATS",0,0
"6097","2013-01-04",3,"MEATS",916.485,0
"6130","2013-01-04",30,"MEATS",25.279001,0
"6163","2013-01-04",31,"MEATS",221.617,0
"6196","2013-01-04",32,"MEATS",64.368,0
"6229","2013-01-04",33,"MEATS",157.535,0
"6262","2013-01-04",34,"MEATS",177.909,0
"6295","2013-01-04",35,"MEATS",98.626,0
"6328","2013-01-04",36,"MEATS",0,0
"6361","2013-01-04",37,"MEATS",363.978,0
"6394","2013-01-04",38,"MEATS",243.566,0
"6427","2013-01-04",39,"MEATS",109.944,0
"6460","2013-01-04",4,"MEATS",438.688,0
"6493","2013-01-04",40,"MEATS",43.874,0
"6526","2013-01-04",41,"MEATS",131.817,0
"6559","2013-01-04",42,"MEATS",0,0
"6592","2013-01-04",43,"MEATS",143.285,0
"6625","2013-01-04",44,"MEATS",1615.349,0
"6658","2013-01-04",45,"MEATS",1461.369,0
"6691","2013-01-04",46,"MEATS",1751.5441,0
"6724","2013-01-04",47,"MEATS",1144.055,0
"6757","2013-01-04",48,"MEATS",2279.973,0
"6790","2013-01-04",49,"MEATS",634.652,0
"6823","2013-01-04",5,"MEATS",407.364,0
"6856","2013-01-04",50,"MEATS",725.893,0
"6889","2013-01-04",51,"MEATS",776.333,0
"6922","2013-01-04",52,"MEATS",0,0
"6955","2013-01-04",53,"MEATS",0,0
"6988","2013-01-04",54,"MEATS",40.223,0
"7021","2013-01-04",6,"MEATS",727.92596,0
"7054","2013-01-04",7,"MEATS",477.186,0
"7087","2013-01-04",8,"MEATS",1170.334,0
"7120","2013-01-04",9,"MEATS",310.878,0
"7153","2013-01-05",1,"MEATS",328.94,0
"7186","2013-01-05",10,"MEATS",247.298,0
"7219","2013-01-05",11,"MEATS",819.055,0
"7252","2013-01-05",12,"MEATS",131.851,0
"7285","2013-01-05",13,"MEATS",297.116,0
"7318","2013-01-05",14,"MEATS",557.248,0
"7351","2013-01-05",15,"MEATS",138.136,0
